Name,Category,Weight,HealthRisk,LifeExpectancy,Coat,GroomingIntensity,MonthlyCost,Trainability,ActivityLevel,Purpose,Content,AdditionalContent
Groodle (Goldendoodle),Family & Kid Friendly Low Shedding Smart & Trainable ,23-45 kg,High,12-15 years,Medium,High,Average,High,Medium,,"A Groodle is a hybrid breed which is a mix of a Golden Retriever and a Poodle. Their fur can be curly or straight and, like most dogs with poodle in the mix, they hardly shed or smell.    Groodles are easy to groom and look after, and have the nature of a Golden Retriever - loving, friendly with everybody and always happy. This, combined with the intelligence of the poodle, makes them very fine family dogs.    Groodles need regular exercise but they will forgive you if some days it turns out to be just a shorter walk. What they do need is lots of mental stimulation, and they thrive on being included in all your daily activities - even if it means taking them with you when you go out for a coffee or watch the kids play soccer. Groodles are quite dependent on their owners and therefore don't enjoy being left behind. Due to their size, this isn't always possible.    The Groodle's willingness to please paired with a high level of intelligence, makes this an easy to train dog that loves to obey your commands. With the right training, it is easy to make your Groodle a very well behaved family companion.",
Havanese,Small & Cute Active & Energetic Family & Kid Friendly Low Shedding Smart & Trainable ,3.5-6 kg,Medium,12-15 years,Long,High,Low,High,High,,"Small and fluffy but very lively, Havanese like to burn energy through rumbling at the park or taking long walks. They won't say no to agility or other dog sports as they are natural performers and will learn new tricks and obedience skills in no time.    Havanese bring lots of love and affection with them, but like to decide for themselves when to give it. They can be mildly stubborn and manipulative and require a consistent handler - otherwise you run the risk of them training you instead of you training them!    They like to be loved and looked after, but not mollycoddled. They often get confused with Maltese, who are similar in looks but opposite in personality. Havanese are more independent and wilful.    They tend to be great apartment dogs due to their size and they hardly bark if exercised adequately. It is recommended to brush them regularly to avoid matting of their coat.",
Hungarian Vizsla,Active & Energetic Family & Kid Friendly Smart & Trainable ,20-30 kg,Medium,12-15 years,Short,Low,Average,Very high,Very high,,"Hungarian Vizslas are very sociable dogs, and are friendly to dogs and humans alike. They tend to be goofy and very affectionate. It is a given they will make you laugh - through their puppy clumsiness and over-excited moves, which can look like break dancing on all four paws!    They are very expressive dogs, who will tell you about their feelings readily. They have a tendency to protect their pack and like to alert their owners with their seal-like bark.    Vizslas thrive best on praise and acknowledgment from owners who give them lots of exercise but also a couch or lap to snuggle up on when it's cold. Sun bathing is one of their favourite activities, and cold weather is definitely not their friend.    As this breed needs two to three hours of daily exercise through running, agility dog sport or play with other dogs, the Vizsla is not the ideal dog for everybody. But if you love exercise and activity, this is the dog for you.",
Irish Setter,Active & Energetic Family & Kid Friendly ,29-34 kg,Medium,10-14 years,Long,High,Above average,High,High,,"These stunning looking dogs are sure to turn heads with their gorgeous silky coat mahogany/red hair. Their behavior is dominated by their endless energy, which is best utilised with hunting and retrieving.    Irish Setters use their nose a lot as this is required for hunting. Their desire to hunt is immense and early recall training is of utmost importance to keep them safe in urban environments. You will usually find them nose down and tail up sniffing out the area around them in readiness for a potential hunt.    If you want to bring home an Irish Setter, we suggest that you get yourselves some gumboots and rain gear. Without lots of daily exercise, this breed will go crazy at home. Mud puddles and bad weather are an Irish Setter's best friend, so it's best to always have a towel ready at the door.    Irish Setters can easily get over excited and if they do, they can hardly contain their excitement. Many people have had the experience of being pushed over by an enthusiastic Irish Setter just wanting to say 'hello'!",
Irish Terrier,Active & Energetic Family & Kid Friendly ,11-12 kg,Medium,13-15 years,Short,Medium,low,Medium,High,,"The Irish Terrier is a typical small-sized terrier with wiry hair and an energetic character that makes a great companion and family dog. Irish Terriers tend to think they are larger than life and are always ready for action. They are like little bunnies with batteries that never stop. Living with them can be tiring, as it seems they never want to be still. If you have a busy lifestyle, they will certainly be able to keep up with you! Their confidence far outweighs their ability. They are extremely brave and can sometimes act aggressively toward other dogs when they feel threatened or provoked…even if the opponent is 10 times their size! This breed isn’t big on being social towards other dogs. Irish Terriers make loyal devoted companions to their owners but once they set their mind on something there is no backing off. Early socialisation is recommended as well as good training with clear boundaries. Their body coat is strong, wiry and very thick. Their fur is short and slicker around their slightly bearded face, which makes them look very cute. Regular brushing and grooming is recommended.",
Irish Wolfhound,Family & Kid Friendly Chilled Out & Relaxed ,63-81 kg,Very high,6-10 years,Medium,Low,very high,Medium,Medium,,"The Irish Wolfhound is one of the largest dog breeds in the world. They can reach one meter in height and weigh up to 54kg. Take note - with this breed you will be buying loads of dog food, not only to feed their large body mass, but also as they simply love food! Even though they love their food, for a giant breed, the Irish Wolfhound looks athletic and well proportioned. Everything is big with this breed, even its personality. Irish Wolfhounds are furry, gentle giants who love to rumble and run. They have a very sensitive side that doesn’t go at all with shouting or roughness. This clever and bright breed prefers a gentle and soft handler that will guide them to do the right thing. They are always friendly and relaxed but do require a great amount of exercise every day. Irish Wolfhounds are alert and brave. In the past this bravery was needed for hunting wolves. Now that they are kept more as pet dogs, these hunting instincts are still present and they may sometimes feel the need to chase deer and other larger animals. First time dog owners may not be equipped to control this hunting instinct. Other than that, this giant gentle makes a perfect family dog. Teaching them to walk nicely on lead is a must from puppyhood. Once an adult, it will be hard to control your Wolfhound’s body mass if he decides to pull you down the streets.",
Italian Greyhound,Small & Cute ,3.5-5 kg,Medium,12-15 years,Short,Low,Low,Medium,High,,"Italian Greyhounds love the luxurious side of life. Placing their delicate bodies on hard, cold surfaces is not for them...but a velvet-padded cushion will be just right to satisfy their comfort level!    Italian Greyhounds love social gatherings and will sit next to their owners like well-behaved school kids. Whenever they get the opportunity, they will jump on your lap to watch the world go by.    Perhaps influenced by their Italian heritage, they are sun worshippers. They get cold easily and when the weather cools down they prefer to wear something warm around their precious little bodies (preferably couture!).    Italian Greyhounds can be very pushy and demanding to gain the level of comfort they desire, and it can sometimes be confusing as to who is the servant and who is the master!    A daily physical outlet is a requirement for their happiness, and they will enjoy regular runs with their owner.    Their coat is very short, smooth and glossy and it does not require much maintenance. They do not really shed very much so they make great house dogs.",
Jack Russell Terrier,Active & Energetic Smart & Trainable ,6-8 kg,Low,13-16 years,Short,Low,Below average,High,Very high,,"People sometimes mistake a Jack Russell Terrier for a Miniature Fox Terrier. But Jack Russells' legs are shorter, their bodies are longer and they have much wider chests that make them look more muscular.    Jack Russells always have their tails up when they walk, which makes them look alert. This makes sense as they are natural hunters. They are not short on self-esteem and are fearless, alert and friendly. Jack Russells think they are big dogs and act like it too!    They love learning new things and have an immense amount of energy. They are lively and happy little chaps on small legs but with the potential to be long distance runners.    The Jack Russell's weakness is the water: they love to go swimming to flush out birds - regardless if there are birds or not. Good luck trying to stop them!    They enjoy a busy family life and show protective tendencies towards their family, so might bark at your visitors or any strangers who come to the door.",
Japanese Chin,Small & Cute Chilled Out & Relaxed ,2-7 kgs,Medium,12-14 years,Long,Low,very low,Low,Low,,"All that these cute little dogs want is to receive and give love and affection and there is not one bit of anger or hostility in their bones. They don’t need long walks and make very happy lap dogs.Japanese Chins are very elegant dogs with a beautiful coat, big forehead and a flat face, which can sometimes cause breathing problems. People who do not know the breed might mistake them for Kings Charles Cavaliers, but their looks are different and actually quite unique. They commonly have a white forehead and white muzzle with black, red, brownish or even yellow-coloured patches around their eyes. Their coats can come in different colours, and black and white versions often look like panda bear cubs! They make perfect apartment dogs and bond best with one owner, whose company and sole attention they enjoy. Japanese Chins can easily be kept as family dogs, but would prefer a single owner household. They are happy to not leave the house much as long as they are trained and played with at home. These dogs love to perform tricks and chase the ball for some entertainment for themselves and their owners. Their coat is very fine and long and feels like silk, especially at the tips. To keep it shiny, daily brushing is recommended.",
Japanese Spitz,Small & Cute Active & Energetic Smart & Trainable ,5-10 kg,Low,10-16 years,Long,Low,low,High,Medium,,"Japanese Spitz’ might look like pocket versions of the Samoyed, but they are not related and have very different temperaments. They are also very different from the German Spitz, not just in looks but also in their breeding background. With their glossy snow-white fur and proud body posture, they make very handsome dogs. Japanese Spitz’ were bred to be companion dogs. These small to medium sized dogs are alert but have a low tendency to bark and are quite social. They love humans and other dogs alike. For these dogs to be truly happy, their owners must fulfill their need to be active. A big yard alone won’t do, otherwise they might take it into its own hands and become escape artists. They enjoy outdoor adventures and long distance walks…it doesn’t matter if it rains or hails, they won’t be too precious to get their fluffy coat wet.Japanese Spitz are also very smart. They are very easy to train and great for trick training or other dog sports such as Agility. Their coats are not that easy to maintain. Daily brushing is recommended so it doesn’t get matted. It is best to let wet dirt dry off and then brush it out.",
Keeshond,Active & Energetic Family & Kid Friendly Protective & Guarding ,14-18 kg,Medium,13-15 years,Long,Low,average,Medium,Medium,,"The Keeshond is a gorgeous looking dog with its fluffy coat, smallish head, button eyes and cute little ears. Their coats are silver-grey with black tinted ends, which makes them look something like a cross between a wolf and a fox! They love attention and affection from their family and do well as a companion dog for large families. The more they can be part of a larger family environment, the happier they will be, so we don’t recommend this breed for a single person household. Keeshonds are great with children of any age. When raised together from puppyhood, they will enjoy snuggling up and relaxing on the couch with the kids, and the kids will love the warm furry blanket that their Keeshond provides! They are brave little dogs that make excellent watchdogs. They have lots of character and spunk and are very alert but have no tendency to be aggressive. They will bark when an intruder is near the house, but will most likely lick them and beg for food once they enter the house. Their other hobby is eating, and they enjoy food as much as a 5-star chef! They have the tendency to beg and eat and eat until you have to stop them.",
Labradoodle,Active & Energetic Family & Kid Friendly Low Shedding Smart & Trainable ,23-45 kg,Medium,12-14 years,Medium,Medium,Above average,High,High,,"The Labradoodle is a mixture between a Standard Poodle and a Labrador Retriever. This is a so-called 'hybrid' breed, which is gaining more and more popularity. Labradoodles can be found in different sizes, depending on the size of the Poodle that the Labrador has been crossed with.    This mix was created to provide a companion dog that doesn't shed much hair and would be able to serve people with allergies. Their fur is mostly long, similar to a poodle, and regular grooming is required. They can come in various colours - brown, gold or black.    The Labradoodle's temperament is loving and friendly. They are very easy to train and adjust well to new situations. Great for first time dog owners or families, Labradoodles are social and friendly to dogs, humans and other animals alike. They make a great family dog as they love to play, obey and please, but also to be active with the family. Being a mix of Labrador and Poodle, most of all they love a good swim in any water.    They enjoy close contact with their humans and certainly love cuddling on the couch. This breed tends to be quite sensible and they make a great companion for kids, with whom they love to play and rumble.",
Labrador Retriever,Active & Energetic Family & Kid Friendly Smart & Trainable ,29-36 kg,Medium,10-13 years,Short,Medium,Above average,Very high,High,,"Hardworking, friendly and low maintenance is the best way to describe the Labrador Retriever. Great personality and good looks combine to make them one of the most popular dog breeds in the world.    Their mental and physical ability together with their always-friendly and positive personality make Labradors the ideal therapy dog, service dog, active sports partner or simply a great dog for the active family.    You can't beat a Labrador's happiness and friendliness when they've had enough exercise as an outlet. They will be happiest when given a ball, frisbee or even a sock to retrieve. Get them swimming in the ocean and retrieving objects out of the water, and they won't want to go home.    Their brown round puppy eyes with their chunky paws are guaranteed to make you fall in love.    Be warned: Labradors will do anything for food. As a result of their enormous appetite they're easy to train, but they have a tendency to be overweight as they'll find any scrap of food on the ground.",
Lagotto Romagnolo,Active & Energetic Family & Kid Friendly Low Shedding Smart & Trainable ,13-16 kg,Medium,15-17 years,Short,High,average,High,Medium,,"If you are after a family friend that loves to play non-stop, enjoys the water and has their nose to the ground most of the time during walks, a Lagotto Romagnolo might be just right for you. The special skills of this very intelligent working dog are finding truffles and retrieving ducks during hunting. With their love for water, Lagottos will try to swim in every puddle they can find. Lagotto Romagnolos are very playful, kid friendly and easy to train. They are ideal for agility or other dog sports, especially scenting sports, where they can use their amazing sense of smell. They require a fair bit of grooming as they don’t shed much of their coat. A lot of people think the Lagotto is a poodle cross-breed, but this is actually one of the oldest dog breeds of Europe, where they have been bred for their temperament, nose and adaptability. They love to talk when required but aren’t barkers as such and are therefore great for city life. But be warned, you can’t take the nose off a Lagotto and going for walks means hours of sniffing the ground.",
Large Munsterlander,Smart & Trainable Active & Energetic ,23-32 kg,Medium,11-13 years,Medium,Low,average,High,High,,"This reliable, devoted, calm and very friendly breed is commonly owned by forest rangers, as, with the right training, they make the ideal partner for this job. Compared with the other famous German hunting breed, the German Pointer, Large Munsterlanders are not as aloof and certainly have better hunting skills. They also make much braver and more accomplished watchdogs than Pointers. They have the ability to concentrate for long hours at a time and show excellent endurance. Large Munsterlanders are pretty calm dogs and enjoy attention from children. To be happy as family dogs, they need to be owned by someone who can give them enough mental stimulation along with lots of physical exercise. This breed needs a job to do, and if you are a jogger and want a running partner, they love being part of your daily exercise. Their thick coat makes them weather resistant, and requires regular brushing. As they love to run through bushes and forests, their coats need to be checked for ticks and possible cuts, as there is not much that stops them when they are on the hunt.",
Leonberger,Family & Kid Friendly Chilled Out & Relaxed Protective & Guarding ,48-75 kg,Medium,8-9 years,Long,Medium,very high,Medium,Medium,,"The Leonberger can best be described as a giant dog that looks like a lion but has the gentle temperament of a lap dog. Do not be mistaken thinking that these large animals will lie around all day resting their bodies. Leonbergers are actually quite active and enjoy the great outdoors. They will thrive with families that are energetic outdoors and have lots of room in their home for them to rumble around in. Most Leonbergers are not aware of their size, especially when they try to find their way onto your lap for some cuddles or crawl into your bed to snuggle up with you. This breed loves attention and affection and makes a great family dog - if you can afford the daily feeds of this giant that can weight up to 68kg. Leonbergers adore people, are friendly and easy to train. They want to please both humans and other dogs. You will hardly find a hostile Leonberger, as love is their answer for everything. Leonbergers’ coats are beautiful but require attention. Daily brushing is recommended during shedding time or you will find a carpet of dog hair in your home.",
Lhasa Apso,Small & Cute ,6-8 kg,Medium,12-14 years,Long,Medium,low,Low,Low,,"If you want a dog, but your partner is more of a ‘cat person’, a Lhasa Apso could be the perfect compromise. Their independent characteristics and temperament make them the cats of the dog world. Some even say that this breed is untamable. Lhasa Apsos are confident, full of pride and tend to find happiness in themselves and with themselves. They look like lap dogs but sure don’t want to be treated like one. They will endure cuddles and patting but on their terms. When they’ve had enough they will jump off you and move on, just like a cat. Lhasa Apsos prefer to stay away from unfamiliar people. This might make some people think this breed is timid. But it’s simply that they want to be left alone. This breed is certainly not afraid of heights and will climb or jump onto the highest elevation accessible to them. From this perch they will sit motionless, looking majest and watching over the house!",
Louisiana Catahoula Leopard Dog,Active & Energetic Smart & Trainable ,16-37 kg,Medium,10-14 years,Short,Low,average,High,Medium,,"The Catahoula Leopard Dog, also called the Louisiana Catahoula Leopard Dog or Catahoula Cur, will wow you with its unique looks. Their leopard-like coat comes in a wide variety of colours and their eyes can look like blue marbled glass, and each eye may be a different colour. Many people would choose to buying this breed just for their unique looks and stunning eyes. Looking past their model looks, Catahoula Leopards are working dogs. It doesn’t matter what the job is - they are versatile and can handle anything. Once shown what their job is they can easily get fixated on it and will fulfill it to the best of their ability over and over again. They thrive on good relationships with their handlers and will enjoy consistency and strong and fair leadership. If you show them that you enjoy working with them and seeing them perform well, they will rise to excellence and will not let you down. Praise and acknowledgment is what this breed thrives on. Catahoula Leopards are quite smart and like to find work where they don’t just follow orders but where self-thinking is required. In some countries they are used as search and rescue dogs as they have an excellent sense of smell.",
Lowchen,Small & Cute Chilled Out & Relaxed ,4.5-8.2 kg,Low,10-12 years,Long,Medium,very low,Medium,Medium,,"The Lowchen (or ‘Little Lion Dog’) is a long-haired small dog that can weigh up to 6kg. Lowchens have been bred for generations as family companions that love to entertain and please their packs. They hold their heads up high and their chests out forward. This, paired with their small legs, can make them look like they are storming the front when they walk!Lowchens are friendly and always in a good mood. They enjoy child and adult company alike. They are quite robust little dogs that can adapt easily and be raised either in the city or the country.Judging by their looks, they may seem to be adventurous and fearless. But they are more a relaxed and easygoing type of dog than showmen. They are happy to have fun and rumble around with their family, and adjust well to whatever their family has planned for the day with or without them. They have a special fluffy coat, which is often groomed in a lion cut. Their coats tend to collect sticks and leaves on every walk, and daily brushing and removal of the remains of their walks is a must to avoid them bringing the garden into your house. Lowchens make greats dog for first time dog owners, and don’t need a lot of training. This breed’s history is old, but they are not very common in some parts of the world and finding a good breeder might prove to be difficult.",
Maltese,Small & Cute Active & Energetic Family & Kid Friendly Low Shedding ,3-4 kg,Medium,12-15 years,Long,High,Low,Medium,Medium,,"Maltese love everybody and anything. They could burst from curiosity when out and about and want to say hello to everyone they meet.    Jumping up to lick your face is a must for this breed. Their friendliness will make even a non-dog lover turn into a huge fan!    Maltese are a very clingy breed and separation from their human (or any human) is something they don't appreciate. If left alone, they often start whining to inform the world about their misery. They prefer to be with somebody 24/7 and if it can't be you, anybody will do. So if you are working long hours or you go away a lot, this breed is not for you.    Maltese might be small but they still require more exercise than one thinks. Daily one-hour outings are important and we recommend taking different routes each day so their desire to smell new things can be pleased.",
Maremma Sheepdog (Abruzzenhund),Active & Energetic Protective & Guarding ,30-45 kg,Low,11-13 years,Medium,Low,high,Medium,High,,"Mareema Sheepdogs, also known as Abruzzenhund, enjoy being close to their family but like living outside with lots of room to play. They are not suitable as apartment dogs or even for living in a smaller city house. If you do have a large plot of land and want your house, property and livestock to be protected from predators and strangers, the Mareema Sheepdog will be just the dog you need. They have a strong protective instinct and will defend and guard their family and property. Due to their size and body mass as well as their strong protective instinct, training this breed well and from puppyhood until old age is a must. Early socialisation is very important to ensure they don’t think offence is the best defense. Mareema Sheepdogs are friendly and loving towards their family but not intrusive. A focus on training is very important as their tendency to make their own decisions can cause problems if they are not trained. They are keen to learn and enjoy training, and their intelligence makes training them easy. However, this breed is quite independent and maintaining a spirit of initiative is also important.Mareema Sheepdogs will always feel reluctant and cautious towards strangers when introduced to them. Their urge to protect their family is always there even when assured by their owners that a stranger is okay.",
Miniature Fox Terrier,Small & Cute ,3.5-5.5 kg,Low,12-14 years,Medium,Low,Low,Medium,High,,"Miniature Fox Terriers are the pocket rocket versions of their cousin, the Fox Terrier. Almost half their weight and size, they are faster than their bigger counterparts and have more chase and hunting instinct in their blood.    Mini Foxies, as they are often called, are brave, intelligent, explosive and full of action. They need to be well trained, as they will hunt for pleasure and won't distinguish between a venomous snake and a harmless one.    Like a standard Fox Terrier, Mini Foxies want adventure, preferably a few times a day. They love to roughhouse and investigate new things and are always open for new activates. To get your partnership off to the right start it is important to use lots of motivation and consequences in their upbringing.    They love to dig outside for snails or any other small animals. Important: Don't use any snail bait or rat poison when living with a Miniature Fox Terrier.    Mini Fox Terriers play rough with other dogs and early socialisation is of upmost importance, along with teaching them clear boundaries.",
Miniature Pinscher,Small & Cute Active & Energetic ,4-5 kg,Medium,12-14 years,Short,Low,very low,Medium,Medium,,"This handsome little fellow has a good dose of self-confidence and lots of exuberant energy to release. You would not think that a dog this size would require that much exercise, but owning one is like having a pocket size Kelpie living in your house! If Miniature Pinschers (or ‘Minipins’ for short) don’t get enough exercise, they will start to get nervy and agitated. It’s like running releases all their stress hormones and mellows them down. After a good run they will then be the perfect chilled out family dog. And Minipins are even good for apartment living as long as they get their daily exercise. They are good with other dogs and children and love to show affection to their owners. They are also great for first time dog owners, but you do just need to consider their exercise needs when deciding whether to get one as a pet. They have a low threshold for new things and can seem a bit on edge when presented with changes or new situations. But they are easy to train and early socialisation to prepare them for life will ensure that their threshold for handling new things is improved. Minipins’ coats are easy to maintain, just a wash and towel rub once in a while will do for this breed.",
Moodle,Small & Cute Family & Kid Friendly Low Shedding ,3-8 kg,Medium,10-15 years,Long,High,Low,Medium,Medium,,"A Moodle is a cross between a Maltese and a Poodle and is a very popular hybrid dog breed. They are also known as Maltipoo.    Thanks to the Poodle in them, Moodles should not shed. They are affectionate, loyal and loving. They are also intelligent and level headed dogs that are great with any other dogs or animals.    Moodles are generally friendly to strangers. They are happy to have kids in their life, especially if they keep them entertained.    Moodles don't do well with being left alone at home - one of the traits they have inherited from their Maltese side. They like it best if they can escort their owners everywhere and with their great temperament and small size they make the perfect take-everywhere companion!    These bundle of fluff are easy to train and fun to be around. Moodles makes great apartment dogs but require walks twice a day. Their coat needs regular brushing and grooming every 8-10 weeks is a must.",
Morkie,Small & Cute Low Shedding ,2-6.5 kg,Medium,10-13 years,Medium,Medium,very low,Low,Medium,,"A Morkie is a cross between a Maltese and a Yorkshire Terrier. This cross breed is quite popular in England and other parts of Europe but originates in the USA. Just like Maltese, Morkies don’t cope well with being left home alone. But their pocket sizing makes it easy to take your Morkie everywhere with you. And that’s what they like! Left home alone, this breed won’t settle and will tend to bark until somebody comes back home. While Yorkshire Terriers needs quite a lot of exercise, Maltese are more laid back and don’t mind the couch potato life. Being a mix of both, exercise requirements for Morkies can vary quite a lot and be on either end of the scale, or somewhere in the middle.Morkies are very playful - they love to chase balls and play with kids. Because of their tiny size and being rather fragile, this breed is best suited for older kids. Morkie can also make great lap dogs, providing lots of happiness and affection to their owners. They are fabulous companion dogs but will be suspicious of strangers. Once they get to know the person, sitting on their lap for affection and soaking up the cuddles is quite the norm.",
Newfoundland,Family & Kid Friendly ,65-69 kg,Very high,8-10 years,Medium,High,High,High,Medium,,"This very big handsome teddy bear can weigh up to 70 kg...meaning there is a lot of fluff to cuddle and love, but also to protect you.    Newfoundlands are friendly, calm and relaxed. They tend to be wonderful with children, with whom they like to play but also feel the need to protect.    This breed is not an attacker or aggressor of any kind, but you can be certain that if you or your family members are in any kind of danger, your Newfoundland will jump to your rescue like a true hero.    They are very alert dogs that - with their big loud bark and their sheer body weight - will easily gain respect.    They want to be a part of the family and everything that's going on. But they don't always have to participate - they are often happy to follow you around the room with their eyes.    To be happy they need fresh air, wind, rain and a shady place on sunny days. And to make them even happier, give them lots of opportunity to swim and dive...a wet Newfoundland is a very happy Newfoundland!",
Norfolk Terrier,Small & Cute Family & Kid Friendly ,5-5.4 kg,Medium,12-15 years,Medium,Medium,very low,Medium,High,,"These sturdy and compact little dogs are one of the smallest terrier breeds in the world. Norfolk Terriers make loving companions and family dogs. They like to cuddle, play chase and dig in the garden…and may even re-landscape your garden for some entertainment. But they are also fearless, especially when it comes to eradicating rodents from your home. They will dig them out of any hole they might hide in! Norfolk Terriers were bred as a variety of the Norwich Terrier, and have a slightly different temperament. Their looks, however, are almost the same, with just their ears being different (the Norfolk Terrier has drop ears while the Norwich Terrier’s are erect). Norfolk Terriers won’t care what you do as long as they can be part of your day-to-day activities. The more variety these outings have the more they will enjoy it. They are not keen on routine and truly enjoy new adventures. Taking them on holidays is easy as they simply adapt to their new environment as long as you are there. These little dogs enjoy running and if they find a dog at the park to play chase with, they will go until they eventually collapse from exhaustion! Don’t underestimate their sharpness and intelligence. Teaching them new things is easy, and they retain things well. Norfolk Terriers have been known to outsmart their owners and wrap them around their little paws! You will be smitten by their charm and won’t notice that you are suddenly getting trained by your dog. Their coats are easy to look after, and it is recommended to trim the coat twice a year and just brush off dead hair once in a while.",
Norwich Terrier,Small & Cute Family & Kid Friendly ,5-5.4 kg,Medium,,Medium,Medium,very low,Medium,High,,"These small, cute little terriers are cuddly and kid friendly. They enjoy playing fetch and chase with the kids and will become a great friend to them. Norwich Terriers are big in personality and quite mischievous. They are also very affectionate and attentive. They are uncomplicated and love to participate in day-to-day life of their families. They are similar in looks and size to the Norfolk Terrier, but slightly different in temperament. Where the Norfolk Terrier gets away with things due to its charm, these guys get away with things by being mischievous! The only major difference in appearance is their ears - the Norfolk Terrier has drop ears while the Norwich Terrier’s are erect.Norwich Terriers are quirky little family dogs who can easy be taken anywhere. They are very good at playing family members against each other. They will come running to beg for food, having just been fed by another family member. They love begging for food and will paw at your constantly for scraps if you don’t teach them to stay on their bed during dinnertime. They are persistent and will annoy you until you feed them under the table. Norwich Terriers make extremely good watchdogs, and teaching them to stop barking is a must otherwise they will drive you mad with their alertness.Their coats are easy to maintain and a twice yearly trim is recommended.",
Nova Scotia Duck Trolling Retriever,Active & Energetic Family & Kid Friendly Smart & Trainable ,20-23 kg,Medium,12-14 years,Medium,Low,average,High,High,,"This dog breed comes with one of the longest names there is (or at least one of the hardest to pronounce!). Nova Scotia Duck Tolling Retrievers (or ‘Tollers’, as they are affectionately known) are quite unique in many ways, and almost became extinct in the early 1900s due to disease. They are one of the smartest dog breeds, and make a great pet for the very active family.Be warned, this breed isn’t for everybody. They require intense regular exercise and need a lot of mental as well as physical stimulation. Tollers have a great work ethic and want to work and to please. They are perfect for families that are interested in training them every day and will keep them busy with dog sport activities. They will play fetch for their life and will be fast at bringing back anything you will throw for them. But don’t be fooled, ball throwing alone will not make a happy Nova Scotia Duck Tolling Retriever!In the past this breed was used for tolling up ducks in rivers, therefore their love for water is no surprise and any puddle is an opportunity to investigate. The Nova Scotia Duck Trolling Retriever breed has a beautiful reddish-brown double coat, so they can swim all year around and never really get cold. Their coats are easy to look after with brushing required once in a while.",
Old English Sheepdog,Family & Kid Friendly Chilled Out & Relaxed ,36-45 kg,High,10-12 kg,Long,High,Above average,Medium,Very high,,"Old English Sheepdogs are known for their fluffy thick coats which give them a cute shaggy look. When they run, their hair blows in the wind...watching a Sheepdog on the go will definitely put a smile on your face!    Old English Sheepdogs are alert and attentive but aggression is not part of their DNA. They are soft and gentle to everyone and anything.    This is a dog you will never get bored with. They provide great entertainment and have a strong sense of family, loving to show affection to their favourite family members, who they will follow from room to room. This is to ensure that no possible cuddle time is missed out on. They don't just look the part - they really are big cuddly teddy bears!    Old English Sheepdogs enjoy activities such as agility or trick training where they can show off their smarts and please their owners. Praise and acknowledgment is what they strive for.    They love long walks and the great outdoors. You will love them for their friendliness, playfulness and balanced attitude to life.",
Papillon,Small & Cute Family & Kid Friendly Smart & Trainable ,4-5 kg,Medium,13-15 years,Long,Medium,Low,High,High,,"Papillons are smalls dog with big personalities. Their visual trademark is their ears that look like butterfly wings and their silky smooth coat.    They may look like lap dogs but they sure aren't. In fact, Papillons are quite the opposite - they love to run and are very fast at jumping over any hurdles in their way. They don't shy away from cold or the water and despite their tiny statute, they are quite hardy dogs that love adventure.    Papillons are great with other animals and kids and their size would make him a good apartment dog, except that they like to make a lot of noise! They are very alert and any noise they hear needs to be commented on. They also enjoy lots of free space to rumble around in.    Of course they also love cuddles and affection. This is a bright little breed - Papillons will learn just by listening and will tilt their head from one side to the other when you say things to them. For cuteness and adorability factor this breed scores 11 out of 10!    They are easy to train and if you are into trick training you won't be disappointed. Papillons have also become a favourite breed for dog agility training. Daily outings are a must with your Papillon.",
Parson Russell Terrier,Small & Cute Active & Energetic ,5.9-7.7 kg,Medium,13-15 years,Short,Medium,very low,Medium,Medium,,"Parson Russell Terriers are busy, brave and confident little terriers. They are hunters extraordinaire and were traditionally used for fox hunting in England. Nowadays they are well established in our family homes. He is doing less hunting but still has the potential to do so. Early training is important, and Parson Russells need clear boundaries and good leadership. Like most terriers, they can be stubborn and at times can be hard to live with. But their cuteness factor and handsomeness outweigh these challenges. Parson Russells know what they want and will demand it from you. If not, your cute terrier may turn into a little less cute terror! They like action and require mental challenges. If these are not given they will get frustrated, and they have a slight tendency to show anger when frustrated. To avoid this, they need stimulation and exercise. They love to be trained and this is best done through consequent leadership, praise and play. They say a Parson Russell Terrier has the memory of an Elephant and isn’t likely to forget any kind of mistreatment. Their coats are easy to look after and require brushing once in a while. They love the water, so bathing will be required whenever they come home dirty from puddle water or mud!",
Pekingese,Small & Cute Chilled Out & Relaxed ,3.5-6.5 kg,Very high,13-15 years,Long,High,Low,Medium,Low,,"Confidence and alertness are just a couple of traits of this small fluffy breed. Pekingese are loyal to their owners and adore them. In return, they will demand affection, attention and cuddles, if not given enough. This can actually get a bit annoying, so you need to be prepared to give lots of cuddles every day if you get a Pekingese!    Pekingese like to be indulged and pampered by their owners. They feel happiest if they are the centre of attention at all times. If your attention is not on them, they will jump on your lap and push their heads under your arm to get a cuddle or two.    Pekingese are also known to be quite jealous dogs. They will act cold and reserved towards strangers or just ignore them completely. They simply don't like to share their owners with anybody.    This is not a breed for first time dog owners or families as they bond best with a single owner. They can be stubborn and arrogant to other dogs and prefer to be more with their human than playing with their fellow dogs.    Special care needs to be taken of the Pekingese's eyes as they stand out and are prone to infections. A breeze can easily make their eyes sore and infected.",
